service_id,operator_name_en,operator_name_bn,variant_no_for_operator,start_stop_raw,end_stop_raw,declared_stop_count,parsed_stop_count,canonical_match_count,canonical_match_rate,unique_canonical_stop_count,route_signature_sha1_12,service_type,time_text,current_status,source_id
SVC0001,Achim Paribahan,আছিম পরিবহন,1,Gabtoli,Demra Staff Quarter,27,27,18,0.6667,18,5a9afa11dfca,Semi-Sitting Service(Check System),,needs_validation,SRC_BUS_GITHUB
SVC0002,Agradut,অগ্রদূত,1,Savar,Notun Bazar,20,20,15,0.7500,15,0dac6e3f3951,,,needs_validation,SRC_BUS_GITHUB
SVC0003,Airport Bangabandhu Avenue,এয়ারপোর্ট বঙ্গবন্ধু এভিনিউ ট্রান্সপোর্ট,1,Fulbaria,Abdullahpur,29,29,23,0.7931,23,6254fb84cfd6,,,needs_validation,SRC_BUS_GITHUB
SVC0004,Azmeri Glory,আজমেরী গ্লোরী,1,Sadarghat,Chandra,33,33,25,0.7576,25,3701ca924635,,,needs_validation,SRC_BUS_GITHUB
SVC0005,Akash Enterprise,আকাশ বাস,1,Kadamtali,Tongi,32,32,24,0.7500,24,9cbe67e2567d,,,needs_validation,SRC_BUS_GITHUB
SVC0006,Akik,আকিক বাস,1,Ansar Camp,Uttar Badda,19,19,13,0.6842,13,195a18a37367,,,needs_validation,SRC_BUS_GITHUB
SVC0007,Al Makka,আল মক্কা বাস,1,Motijheel,Mirpur 1,20,20,16,0.8000,16,5a45b650e363,,,needs_validation,SRC_BUS_GITHUB
SVC0008,Al Madina Plus One,আল মনিদা প্লাস ওয়ান,1,Nandan Park,Kamalapur,26,26,26,1.0000,26,10414255c899,,,needs_validation,SRC_BUS_GITHUB
SVC0009,Alif,আলিফ বাস,1,Mirpur 14,Nandan Park,14,14,12,0.8571,12,679cd2484872,,,needs_validation,SRC_BUS_GITHUB
SVC0010,Alif,আলিফ বাস,2,Shia Mosque,Banasree,17,17,9,0.5294,9,46ccf31cdb3a,,,needs_validation,SRC_BUS_GITHUB
SVC0011,Alif,আলিফ বাস,3,Mirpur 1,Banasree,16,16,11,0.6875,11,cc34ac3c70b5,,,needs_validation,SRC_BUS_GITHUB
SVC0012,Alif,আলিফ বাস,4,Japan Garden City,Abdullahpur,26,26,16,0.6154,16,cc7270c7a8ca,,,needs_validation,SRC_BUS_GITHUB
SVC0013,Anabil Super,অনাবিল সুপার,1,Sign Board,Gazipur Chourasta,34,34,21,0.6176,21,30c780e472d9,Sitting Service(Check System),6 am-12pm,needs_validation,SRC_BUS_GITHUB
SVC0014,Arnob,অরনব বাস,1,Hemayetpur,Demra Staff Quarter,20,20,14,0.7000,14,1068a1a8830d,,,needs_validation,SRC_BUS_GITHUB
SVC0015,Ashirbad Pahibahan,আশীর্বাদ পরিবহন,1,Duaripara,Azimpur,21,21,18,0.8571,18,cd6b101a6c97,,,needs_validation,SRC_BUS_GITHUB
SVC0016,Ashulia Classic,আশুলিয়া ক্লাসিক বাস,1,Nobinagar,Sat rasta,23,23,16,0.6957,16,39c5ef0ce729,,,needs_validation,SRC_BUS_GITHUB
SVC0017,Asmani,আসমানী বাস,1,Dhour,Madanpur,24,24,15,0.6250,15,b2443bb035f2,,,needs_validation,SRC_BUS_GITHUB
SVC0018,ATCL,এটিসিএল বাস,1,Mohammadpur Bus Stand,Arambagh Notre Dame College,15,15,12,0.8000,12,47c308be1287,,,needs_validation,SRC_BUS_GITHUB
SVC0019,Ayat,আয়াত বাস,1,Chiriyakhana,Kamalapur,17,17,15,0.8824,15,a020cedcf78a,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0020,Bahon,বাহন বাস,1,Mirpur 14,Khilgaon,26,26,21,0.8077,21,f4710cbaa46d,Semi-Sitting Service (Check System),6 am-11pm,needs_validation,SRC_BUS_GITHUB
SVC0021,Baishakhi,বৈশাখী বাস,1,Savar,Notun Bazar,17,17,15,0.8824,15,bea9f55c556e,,,needs_validation,SRC_BUS_GITHUB
SVC0022,Balaka,বলাকা বাস,1,Sayedabad,Gazipur Chourasta,30,30,21,0.7000,21,fe47ced87ca0,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0023,Basumati,বাসুমতি বাস,1,Gabtoli,Maowa,22,22,20,0.9091,20,aae481a80c61,,,needs_validation,SRC_BUS_GITHUB
SVC0024,Basumati Transport,বাসুমতি ট্রান্সপোর্ট,1,Gabtoli,Gazipur Chourasta,24,24,17,0.7083,17,022f68738fd6,,,needs_validation,SRC_BUS_GITHUB
SVC0025,Best Satabdi AC,বেষ্ট শতাব্দী এসি বাস,1,Azimpur,Diabari,26,26,18,0.6923,18,efc41a4aa3bf,,,needs_validation,SRC_BUS_GITHUB
SVC0026,Best Transport,বেষ্ট ট্রান্সপোর্ট বাস,1,Mirpur 10,Jatrabari,20,20,18,0.9000,18,5224054ac37c,,,needs_validation,SRC_BUS_GITHUB
SVC0027,Bhuiyan Paribahan,ভূঁইয়া পরিবহন,1,Japan Garden City,Abdullahpur,26,26,16,0.6154,16,cc7270c7a8ca,,,needs_validation,SRC_BUS_GITHUB
SVC0028,Bihanga,বিহাঙ্গা বাস,1,Duaripara,Sadarghat,23,23,21,0.9130,21,86a9d3cb8f60,,,needs_validation,SRC_BUS_GITHUB
SVC0029,Bikalpa Bus Auto Service,বিকল্প বাস অটো সার্ভিস,1,Mirpur 12,Motijheel,21,21,20,0.9524,20,d59e59af56bd,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0030,Bikalpa Bus City Super Service,বিকল্প বাস সিটি সুপার সার্ভিস,1,Mirpur 12,Dhakeshwari,21,21,17,0.8095,17,67df824093da,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0031,Bikash,বিকাশ বাস,1,Azimpur,Kamarpara,19,19,15,0.7895,15,4aefcd72376b,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0032,Bikash Paribahan,বিকাশ পরিবহন বাস,1,Sign Board,Dhour,37,37,27,0.7297,27,3737ec50caa5,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0033,Bondhu Paribahan,বন্ধু পরিবহন বাস,1,Gulistan,Notun Bazar,16,16,10,0.6250,10,142da771bb54,,,needs_validation,SRC_BUS_GITHUB
SVC0034,Borak,বোরাক বাস,1,Palashi,Meghna Ghat,2,2,2,1.0000,2,9418dea8cba5,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0035,Bashumoti,বসুমতি বাস,1,Gazipur Chourasta,Gabtoli,9,9,7,0.7778,7,3088731e0bf0,,,needs_validation,SRC_BUS_GITHUB
SVC0036,BRTC,বি আর টিসি বাস,1,Madanpur,Savar,30,30,28,0.9333,28,cd0472406c41,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0037,BRTC,বি আর টিসি বাস,2,Motijheel,Tongi,28,28,22,0.7857,22,b98cdd6b8991,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0038,BRTC,বি আর টিসি বাস,3,Motijheel,Chandra,24,24,24,1.0000,24,98fd7cd30cec,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0039,BRTC,বি আর টিসি বাস,4,Mohammadpur,Kuril Bishwa Road,17,17,12,0.7059,12,22fa4b9d3841,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0040,BRTC,বি আর টিসি বাস,5,Kamalapur,Kuril Bishwa Road,25,25,20,0.8000,20,c0984cbfeda5,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0041,BRTC,বি আর টিসি বাস,6,Vulta,Kuril Bishwa Road,6,6,2,0.3333,2,ec54a1cea6d9,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0042,BRTC,বি আর টিসি বাস,7,Motijheel,Abdullahpur,28,28,20,0.7143,20,1772aa658718,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0043,BRTC,বি আর টিসি বাস,8,Mohammadpur,Motijheel,16,16,14,0.8750,14,e352a9642db8,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0044,BRTC,বি আর টিসি বাস,9,Gabtoli,Gazipur Chourasta,24,24,17,0.7083,17,3788629d80f6,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0045,BRTC Articulated,বি আর টিসি আরটিকুলেটেড বাস,1,Balughat,Motijheel,9,9,8,0.8889,8,841e22f6ebd3,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0046,Cantonment,ক্যান্টনমেন্ট বাস সার্ভিস,1,Mirpur 14,Savar,11,11,11,1.0000,11,770450dbfc82,,,needs_validation,SRC_BUS_GITHUB
SVC0047,Cantonment Mini Service,ক্যান্টনমেন্ট মিনি বাস সার্ভিস,1,Mirpur 14,Mohakhali,6,6,5,0.8333,5,ede70a9b6e99,,,needs_validation,SRC_BUS_GITHUB
SVC0048,Champion,চ্যাম্পিয়ন বাস,1,Vashantek,Gabtoli,9,9,8,0.8889,8,181265622cff,,,needs_validation,SRC_BUS_GITHUB
SVC0049,City Link,সিটি লিংক বাস,1,Chittagong Road,Ghatar Char,24,24,20,0.8333,20,68b9619305bf,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0050,D Link,ডি লিংক বাস,1,Fulbaria,Dhamra,22,22,20,0.9091,20,c84d851c643d,,,needs_validation,SRC_BUS_GITHUB
SVC0051,D One Transport,ডি ওয়ান বাস,1,Motijheel,Kalampur,21,21,20,0.9524,20,cd4e307e8c23,,,needs_validation,SRC_BUS_GITHUB
SVC0052,Deepan,দিপান বাস,1,Tajmahal Road,Arambagh,12,12,11,0.9167,11,c131caa3e573,,,needs_validation,SRC_BUS_GITHUB
SVC0053,Desh Bangla,দেশ বাংলা বাস,1,Postagola,Kamarpara,28,28,19,0.6786,19,75a64e9cf3eb,,,needs_validation,SRC_BUS_GITHUB
SVC0054,Dewan,দেওয়ান বাস,1,Azimpur,Kuril Bishwa Road,26,26,21,0.8077,20,1e855780c7e5,,,needs_validation,SRC_BUS_GITHUB
SVC0055,Dhakar Chaka,ঢাকার চাকা বাস,1,Police Plaza,Gulshan 2,3,3,2,0.6667,2,21eaf4d02335,Sitting Service(Ticket System),,needs_validation,SRC_BUS_GITHUB
SVC0056,Dhakar Chaka,ঢাকার চাকা বাস,2,Banani,Notun Bazar,3,3,3,1.0000,3,a8d67eee7d62,Sitting Service(Ticket System),,needs_validation,SRC_BUS_GITHUB
SVC0057,Dipon,দিপোন বাস,1,Tajmahal Road,Arambagh,19,19,13,0.6842,13,a64838c2b194,,,needs_validation,SRC_BUS_GITHUB
SVC0058,Dip Paribahan,দ্বীপ পরিবহন বাস,1,Azimpur,Kuril Bissho Road,9,9,7,0.7778,7,ee034b1a5636,,,needs_validation,SRC_BUS_GITHUB
SVC0059,Dishari,দিশারী বাস,1,Chiriyakhana,Keraniganj,23,23,22,0.9565,22,c9bd3eeaaf2c,,,needs_validation,SRC_BUS_GITHUB
SVC0060,ETC,ইটিসি বাস,1,Golap Shah Mazar,Mirpur 12,10,10,10,1.0000,10,c18b89253bdd,,,needs_validation,SRC_BUS_GITHUB
SVC0061,ETC Transport,ইটিসি ট্রান্সপোর্ট বাস,1,Golap Shah Mazar,Mirpur 12,20,20,19,0.9500,19,c9029c40af50,Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0062,Everest Paribahan,এভারেস্ট পরিবহন বাস,1,Rupnagar Abashik,Keraniganj,6,6,4,0.6667,4,0135f2d6bcd5,,,needs_validation,SRC_BUS_GITHUB
SVC0063,First Ten,ফার্স্ট টেন বাস,1,Vashantek,Gabtoli,9,9,8,0.8889,8,181265622cff,,,needs_validation,SRC_BUS_GITHUB
