raw_stop_name,normalized_stop_name,existing_canonical_place_id,existing_canonical_name_en,existing_match_score,existing_match_method,candidate_place_id,candidate_place_name_en,candidate_place_similarity,candidate_osm_stop_id,candidate_osm_stop_name,candidate_osm_latitude,candidate_osm_longitude,candidate_osm_similarity,proposal_status,safe_to_auto_verify,source_id
300 Feet,300 feet,,,0.3636,unmatched,PLC0223,Mawa Ferryghat,0.3636,5185942351,DC Office New Court Bus Stop,23.6329569,90.4959266,0.3704,manual_review,no,SRC_BUS_GITHUB
Abdulla,abdulla,,,0.7778,unmatched,PLC0001,Abdullahpur,0.7778,3739984012,Taltola,23.7832966,90.3785274,0.5714,manual_review,no,SRC_BUS_GITHUB
Adabor,adabor,,,0.6667,unmatched,PLC0044,Basabo,0.6667,6797150706,Chandra Moor,24.0476042,90.2389996,0.5556,manual_review,no,SRC_BUS_GITHUB
Adabor Shyamoli,adabor shyamoli,,,0.6957,unmatched,PLC0346,Shyamoli,0.6957,3803653181,Shyamoli Bus Station,23.8088054,90.4214847,0.6957,manual_review,no,SRC_BUS_GITHUB
Adamjee College,adamjee college,,,0.7407,unmatched,PLC0106,Eden College,0.7407,4365852658,Shaheen College Bus Stop,23.8275583,90.4015705,0.7333,manual_review,no,SRC_BUS_GITHUB
Adamjee School,adamjee school,,,0.5217,unmatched,PLC0151,Kadamtoli,0.5217,2847739318,Adamjee Bus Stop,23.7951081,90.3929531,0.6667,manual_review,no,SRC_BUS_GITHUB
Airport Jashimuddin (Uttara),airport jashimuddin,,,0.6897,unmatched,PLC0142,Jasimuddin,0.5556,4737734589,"Jashimuddin Bus Stopage, Uttara",23.8608599,90.4000486,0.7500,manual_review,no,SRC_BUS_GITHUB
Arambagh Kingdom,arambagh kingdom,,,0.6667,unmatched,PLC0010,Arambagh,0.6667,12002685206,Arambagh Bus stop,23.7308424,90.4212047,0.6667,manual_review,no,SRC_BUS_GITHUB
Arambagh Notre Dame College,arambagh notre dame college,,,0.8,unmatched,PLC0283,Notre Dame College,0.8000,12169756253,Konabari Degree College,24.013862,90.308735,0.5600,manual_review,no,SRC_BUS_GITHUB
Ashulia Bazar,ashulia bazar,,,0.7826,unmatched,PLC0009,Apla Bazar,0.7826,12169756238,Ashulia Bazaar Bus stop,23.8975797,90.3309306,0.9630,review_high_osm_similarity,no,SRC_BUS_GITHUB
Baitul Mukarram,baitul mukarram,,,0.5455,unmatched,PLC0027,Bagmara,0.5455,130022522,Baroipara,24.0284732,90.2424305,0.5000,manual_review,no,SRC_BUS_GITHUB
Banasree,banasree,,,0.8,unmatched,PLC0064,Bonsree,0.8000,12073098779,Banani Bus stop,23.7952569,90.4013241,0.5714,manual_review,no,SRC_BUS_GITHUB
Bangla Motor Shahbag,bangla motor shahbag,,,0.75,unmatched,PLC0037,Bangla Motor,0.7500,13251912785,"Bot Tola Mor Diabari, Bus stop",23.7988834,90.3434516,0.5500,manual_review,no,SRC_BUS_GITHUB
Baromi,baromi,,,0.8,unmatched,PLC0062,Bomi,0.8000,130022522,Baroipara,24.0284732,90.2424305,0.6667,manual_review,no,SRC_BUS_GITHUB
Bashtola,bashtola,,,0.7143,unmatched,PLC0046,Basila,0.7143,2994114617,Bashtola Bus Stand,23.7943849,90.4240761,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
