route_id,from_place_id,from_name_en,to_place_id,to_name_en,distance_km,fare_tk,fare_per_km_tk,minimum_fare_tk,calculation,source_id
BRTA_A_101_NO,PLC0160,Kalshi,PLC0243,Mirpur-12,2.2,10,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0160,Kalshi,PLC0240,Mirpur-10,4.7,12,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0160,Kalshi,PLC0179,Kazipara,6.1,15,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0160,Kalshi,PLC0340,Shewrapara,6.8,17,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0160,Kalshi,PLC0112,Farmgate,11.4,28,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0160,Kalshi,PLC0331,Shahbag,13.7,34,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0160,Kalshi,PLC0292,Palton,15.6,39,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0160,Kalshi,PLC0125,Gulistan,16.6,41,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0160,Kalshi,PLC0365,Tikatuli,17.8,44,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0160,Kalshi,PLC0327,Sayedabad,18.9,47,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0160,Kalshi,PLC0143,Jatrabari,19.9,49,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0160,Kalshi,PLC0348,Signboard,24.8,61,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0160,Kalshi,PLC0172,Kanchpur Bridge,28.8,71,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0243,Mirpur-12,PLC0160,Kalshi,2.2,10,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0243,Mirpur-12,PLC0240,Mirpur-10,2.5,10,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0243,Mirpur-12,PLC0179,Kazipara,3.9,10,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0243,Mirpur-12,PLC0340,Shewrapara,4.6,12,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0243,Mirpur-12,PLC0112,Farmgate,9.2,23,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0243,Mirpur-12,PLC0331,Shahbag,11.5,29,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0243,Mirpur-12,PLC0292,Palton,13.4,33,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0243,Mirpur-12,PLC0125,Gulistan,14.4,36,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0243,Mirpur-12,PLC0365,Tikatuli,15.6,39,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0243,Mirpur-12,PLC0327,Sayedabad,16.7,41,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0243,Mirpur-12,PLC0143,Jatrabari,17.7,44,2.45,10,"max(10, ceil(distance_km * 2.45))",SRC_BRTA_METRO_FARES
