route_id,from_place_id,from_name_en,to_place_id,to_name_en,segment_distance_km,direction,source_id
BRTA_A_101_NO,PLC0160,Kalshi,PLC0243,Mirpur-12,2.2,forward,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0243,Mirpur-12,PLC0160,Kalshi,2.2,reverse,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0243,Mirpur-12,PLC0240,Mirpur-10,2.5,forward,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0240,Mirpur-10,PLC0243,Mirpur-12,2.5,reverse,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0240,Mirpur-10,PLC0179,Kazipara,1.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0179,Kazipara,PLC0240,Mirpur-10,1.4,reverse,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0179,Kazipara,PLC0340,Shewrapara,0.7,forward,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0340,Shewrapara,PLC0179,Kazipara,0.7,reverse,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0340,Shewrapara,PLC0112,Farmgate,4.6,forward,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0112,Farmgate,PLC0340,Shewrapara,4.6,reverse,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0112,Farmgate,PLC0331,Shahbag,2.3,forward,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0331,Shahbag,PLC0112,Farmgate,2.3,reverse,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0331,Shahbag,PLC0292,Palton,1.9,forward,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0292,Palton,PLC0331,Shahbag,1.9,reverse,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0292,Palton,PLC0125,Gulistan,1.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0125,Gulistan,PLC0292,Palton,1.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0125,Gulistan,PLC0365,Tikatuli,1.2,forward,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0365,Tikatuli,PLC0125,Gulistan,1.2,reverse,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0365,Tikatuli,PLC0327,Sayedabad,1.1,forward,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0327,Sayedabad,PLC0365,Tikatuli,1.1,reverse,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0327,Sayedabad,PLC0143,Jatrabari,1.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0143,Jatrabari,PLC0327,Sayedabad,1.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0143,Jatrabari,PLC0348,Signboard,4.9,forward,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0348,Signboard,PLC0143,Jatrabari,4.9,reverse,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0348,Signboard,PLC0172,Kanchpur Bridge,4.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,PLC0172,Kanchpur Bridge,PLC0348,Signboard,4.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,PLC0290,Pallabi (Mirpur-12),PLC0242,Mirpur-11 1/2,0.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,PLC0242,Mirpur-11 1/2,PLC0290,Pallabi (Mirpur-12),0.4,reverse,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,PLC0242,Mirpur-11 1/2,PLC0028,Baikali Hotel,0.3,forward,SRC_BRTA_METRO_FARES
