route_id,stop_sequence,place_id,stop_name_en,stop_name_bn,cumulative_distance_km,segment_distance_from_previous_km,source_id
BRTA_A_101_NO,1,PLC0160,Kalshi,কালশী,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,2,PLC0243,Mirpur-12,মিরপুর-১২,2.2,2.2,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,3,PLC0240,Mirpur-10,মিরপুর-১০,4.7,2.5,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,4,PLC0179,Kazipara,কাজীপাড়া,6.1,1.4,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,5,PLC0340,Shewrapara,শেওড়াপাড়া,6.8,0.7,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,6,PLC0112,Farmgate,ফার্মগেট,11.4,4.6,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,7,PLC0331,Shahbag,শাহবাগ,13.7,2.3,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,8,PLC0292,Palton,পল্টন,15.6,1.9,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,9,PLC0125,Gulistan,গুলিস্তান,16.6,1.0,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,10,PLC0365,Tikatuli,টিকাটুলি,17.8,1.2,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,11,PLC0327,Sayedabad,সায়দাবাদ,18.9,1.1,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,12,PLC0143,Jatrabari,যাত্রাবাড়ী,19.9,1.0,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,13,PLC0348,Signboard,সাইনবোর্ড,24.8,4.9,SRC_BRTA_METRO_FARES
BRTA_A_101_NO,14,PLC0172,Kanchpur Bridge,কাঁচপুরব্রীজ,28.8,4.0,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,1,PLC0290,Pallabi (Mirpur-12),পল্লবী (মিরপুর-১২),0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,2,PLC0242,Mirpur-11 1/2,মিরপুর-১১ ১/২,0.4,0.4,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,3,PLC0028,Baikali Hotel,বৈকালী হোটেল,0.7,0.3,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,4,PLC0241,Mirpur-11,মিরপুর-১১,1.4,0.7,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,5,PLC0240,Mirpur-10,মিরপুর-১০,2.3,0.9,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,6,PLC0179,Kazipara,কাজীপাড়া,3.7,1.4,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,7,PLC0112,Farmgate,ফার্মগেট,9.0,5.3,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,8,PLC0298,Press Club,প্রেসক্লাব,13.2,4.2,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,9,PLC0358,T&T,টিএন্ডটি,14.7,1.5,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,10,PLC0317,Raysaheb Bazar,রায়সাহেব বাজার,15.7,1.0,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,11,PLC0380,Victoria Park,ভিক্টোরিয়া পার্ক,16.9,1.2,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,1,PLC0102,Duyaripara,দুয়ারীপাড়া,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,2,PLC0243,Mirpur-12,মিরপুর-১২,0.9,0.9,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,3,PLC0237,Mirpur Sade 11,মিরপুর সাড়ে ১১,1.3,0.4,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,4,PLC0028,Baikali Hotel,বৈকালী হোটেল,1.8,0.5,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,5,PLC0241,Mirpur-11,মিরপুর-১১,2.3,0.5,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,6,PLC0240,Mirpur-10,মিরপুর-১০,3.2,0.9,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,7,PLC0179,Kazipara,কাজীপাড়া,4.6,1.4,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,8,PLC0340,Shewrapara,শেওড়াপাড়া,5.3,0.7,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,9,PLC0004,Agargaon,আগারগাঁও,7.0,1.7,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,10,PLC0186,Khanmondol,খানমন্ডল,10.6,3.6,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,11,PLC0344,Shukrabad,শুক্রাবাদ,11.1,0.5,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,12,PLC0088,Dhakeswari Mandir,ঢাকেশ্বরী মন্দির,15.1,4.0,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,1,PLC0102,Duyaripara,দুয়ারীপাড়া,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,2,PLC0297,Prashika,প্রশিকা,2.0,2.0,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,3,PLC0238,Mirpur Thana,মিরপুর থানা,2.4,0.4,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,4,PLC0239,Mirpur-1,মিরপুর-১,3.7,1.3,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,5,PLC0008,Ansar Camp,আনসারক্যাম্প,4.6,0.9,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,6,PLC0362,Technical,টেকনিক্যাল,5.5,0.9,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,7,PLC0012,Asad Gate,আসাদগেট,8.1,2.6,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,8,PLC0329,Science Lab,সায়েন্সল্যাব,11.8,3.7,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,9,PLC0067,BUET,বুয়েট,14.9,3.1,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,10,PLC0125,Gulistan,গুলিস্তান,16.7,1.8,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,1,PLC0289,Pallabi (Ceramic),পল্লবী (সিরামিক),0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,2,PLC0242,Mirpur-11 1/2,মিরপুর-১১ ১/২,0.7,0.7,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,3,PLC0028,Baikali Hotel,বৈকালী হোটেল,1.1,0.4,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,4,PLC0241,Mirpur-11,মিরপুর-১১,1.5,0.4,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,5,PLC0240,Mirpur-10,মিরপুর-১০,2.6,1.1,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,6,PLC0179,Kazipara,কাজীপাড়া,3.7,1.1,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,7,PLC0112,Farmgate,ফার্মগেট,9.0,5.3,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,8,PLC0292,Palton,পল্টন,13.5,4.5,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,9,PLC0354,Stadium,স্টেডিয়াম,13.8,0.3,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,10,PLC0283,Notre Dame College,নটরড্যাম কলেজ,17.0,3.2,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,1,PLC0387,Zoo,চিড়িয়াখানা,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,2,PLC0239,Mirpur-1,মিরপুর-১,1.8,1.8,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,3,PLC0008,Ansar Camp,আনসারক্যাম্প,2.7,0.9,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,4,PLC0080,Darussalam,দারুসসালাম,3.8,1.1,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,5,PLC0163,Kalyanpur,কল্যাণপুর,5.0,1.2,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,6,PLC0346,Shyamoli,শ্যামলী,5.4,0.4,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,7,PLC0078,College Gate,কলেজগেট,6.3,0.9,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,8,PLC0012,Asad Gate,আসাদগেট,7.2,0.9,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,9,PLC0112,Farmgate,ফার্মগেট,9.0,1.8,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,10,PLC0178,Kawran Bazar,কাওরানবাজার,10.0,1.0,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,11,PLC0331,Shahbag,শাহবাগ,11.4,1.4,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,12,PLC0298,Press Club,প্রেসক্লাব,13.1,1.7,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,13,PLC0354,Stadium,স্টেডিয়াম,14.1,1.0,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,14,PLC0136,Intefak,ইন্তেফাক,17.2,3.1,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,15,PLC0327,Sayedabad,সায়েদাবাদ,18.3,1.1,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,1,PLC0239,Mirpur-1,মিরপুর-১,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,2,PLC0008,Ansar Camp,আনসার ক্যাম্প,1.0,1.0,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,3,PLC0362,Technical,টেকনিক্যাল,2.2,1.2,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,4,PLC0163,Kalyanpur,কল্যাণপুর,3.2,1.0,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,5,PLC0346,Shyamoli,শ্যামলী,3.9,0.7,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,6,PLC0078,College Gate,কলেজগেট,4.6,0.7,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,7,PLC0344,Shukrabad,শুক্রাবাদ,6.8,2.2,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,8,PLC0156,Kalabagan,কলাবাগান,7.4,0.6,SRC_BRTA_METRO_FARES
