route_id,route_code_en,route_code_bn,route_name_en,route_name_bn,origin_name_en,destination_name_en,total_distance_km,stop_count,fare_per_km_tk,minimum_fare_tk,live_use,source_id
BRTA_A_101_NO,A-101 No.,এ-১০১নং,Kalshi (Mirpur-12) to Kanchpur Bridge,কালশী (মিরপুর-১২) হতে কাঁচপুর ব্রীজ,Kalshi,Kanchpur Bridge,28.8,14,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,A-102 No.,এ-১০২নং,Pallabi to Sadarghat,পল্লবী হতে সদরঘাট,Pallabi (Mirpur-12),Victoria Park,16.9,11,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,A-103 No.,এ-১০৩নং,Pallabi (Duyaripara) to Dhakeswari,পল্লবী (দুয়ারীপাড়া) হতে ঢাকেশ্বরী,Duyaripara,Dhakeswari Mandir,15.1,12,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,A-110 No.,এ-১১০নং,Duyaripara to Gulistan,দুয়ারীপাড়া হতে গুলিস্তান,Duyaripara,Gulistan,16.7,10,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,A-111 No.,এ-১১১নং,Pallabi (Ceramic) to Dilkuasha [Sonali Bank],পল্লবী (সিরামিক) হতে দিলকুশা [সোনালী ব্যাংক],Pallabi (Ceramic),Notre Dame College,17.0,10,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,A-114 No.,এ-১১৪নং,Mirpur (Zoo) to Sayedabad,মিরপুর(চিড়িয়াখানা) হতে সায়েদাবাদ,Zoo,Sayedabad,18.3,15,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,A-115 No.,এ-১১৫নং,Mirpur-1 (Boishakhi Super Market) to Jatrabari,মিরপুর-১(বৈশাখী সুপার মার্কেট) হতে যাত্রাবাড়ী,Mirpur-1,Jatrabari,17.6,15,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,A-122 No.,এ-১২২নং,Mirpur-12 (ECB Chattar) to Azimpur,মিরপুর-১২ (ইসিবি চত্বর) হতে আজিমপুর,Mirpur-12,Azimpur,22.0,10,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,A-127 No.,এ-১২৭নং,Mirpur Mazar Road to Azimpur,মিরপুর মাজার রোড হতে আজিমপুর,Mirpur Mazar Road,Azimpur,12.0,10,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,A-129 No.,এ-১২৯নং,Mirpur-14 to Khilgaon Taltala,মিরপুর-১৪ হতে খিলগাঁও তালতলা,Mirpur(14),Khilgaon Taltala,25.7,16,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_131_NO,A-131 No.,এ-১৩১নং,Mirpur Zoo to Sadarghat,মিরপুর চিড়িয়াখানা হতে সদরঘাট,Zoo,Victoria Park,16.0,9,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,A-132 No.,এ-১৩২নং,Baipail to Keraniganj (New Jail),বাইপাইল হতে কেরানীগঞ্জ (নতুন জেলখানা),Baipail,Keraniganj (New Jail),47.5,16,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_137_NO,A-137 No.,এ-১৩৭নং,Balughat to Sayedabad,বালুঘাট হতে সায়েদাবাদ,Sayedabad,Balughat,14.6,7,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_138_NO,A-138 No.,এ-১৩৮নং,Uttara (Raniganj) to Sadarghat,উত্তরা (রানীগঞ্জ) হতে সদরঘাট,Uttara (Raniganj),Victoria Park,23.3,7,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_141_NO,A-141 No.,এ-১৪১নং,Bonoshri to Mohammadpur Shia Mosque,বনশ্রী হতে মোহাম্মদপুর শিয়া মসজিদ,Bonoshri,Mohammadpur Shia Mosque,18.2,6,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_142_NO,A-142 No.,এ-১৪২নং,Pirjangi Mazar to Natun Bazar,পীরজঙ্গী মাজার হতে নতুন বাজার,Pirjangi Mazar,Natun Bazar,16.7,14,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,A-154 No.,এ-১৫৪নং,Mirpur-14 to Signboard,মিরপুর-১৪ হতে সাইনবোর্ড,Zoo,Signboard,26.5,17,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_157_NO,A-157 No.,এ-১৫৭নং,Bonoshri to Mohammadpur,বনশ্রী হতে মোহাম্মদপুর,Bonoshri,Mohammadpur (Asad Avenue),14.0,7,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_160_NO,A-160 No.,এ-১৬০নং,Mohammadpur (Japan Garden City) to Postgola,মোহাম্মদপুর (জাপান গার্ডেন সিটি) হতে পোস্তগোলা,Mohammadpur (Japan Garden City),Postgola,16.2,10,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_161_NO,A-161 No.,এ-১৬১নং,Ghatarchar to Dhupkhola,ঘাটারচর হতে ধুপখোলা,Ghatarchar,Dhupkhola,20.5,12,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_166_NO,A-166 No.,এ-১৬৬নং,Mohammadpur (Bus Stand) to Uttara House Building,মোহাম্মদপুর(বাস স্ট্যান্ড) হতে উত্তরা হাউজ বিল্ডিং,Mohammadpur,House Building,20.5,17,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_173_NO,A-173 No.,এ-১৭৩নং,Babu Bazar Bridge to Dhowr Bridge,বাবু বাজার ব্রীজ হতে ধওর ব্রীজ,Babu Bazar Bridge,Dhowr Bridge,25.2,15,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_181_NO,A-181 No.,এ-১৮১নং,Savar to Badda Natun Bazar,সাভার হতে বাড্ডা নতুন বাজার,Savar,Natun Bazar,27.8,7,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_182_NO,A-182 No.,এ-১৮২নং,Mirpur-14 to Chandra,মিরপুর-১৪ হতে চন্দ্রা,Mirpur-14,Chandra,42.5,13,2.45,10,yes,SRC_BRTA_METRO_FARES
BRTA_A_190_NO,A-190 No.,এ-১৯০নং,Savar EPZ to Narayanganj Link Road,সাভার ইপিজেড হতে নারায়ণগঞ্জ লিংকরোড,EPZ,Link Road,46.2,8,2.45,10,yes,SRC_BRTA_METRO_FARES
