service_id,operator_name_en,operator_name_bn,variant_no_for_operator,start_stop_raw,end_stop_raw,stop_count,service_type,time_text,image_url,current_status,source_id
SVC0001,Achim Paribahan,আছিম পরিবহন,1,Gabtoli,Demra Staff Quarter,27,Semi-Sitting Service(Check System),,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%86%E0%A6%9B%E0%A6%BF%E0%A6%AE%20%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%AC%E0%A6%B9%E0%A6%A8.jpg?alt=media&token=796ceee2-da0e-4ae4-9ffd-74a0f6c7a6ee,needs_validation,SRC_BUS_GITHUB
SVC0002,Agradut,অগ্রদূত,1,Savar,Notun Bazar,20,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%85%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%A6%E0%A7%82%E0%A6%A4.jpg?alt=media&token=91deb976-a63b-45d2-9fe3-3a408d313f62,needs_validation,SRC_BUS_GITHUB
SVC0003,Airport Bangabandhu Avenue,এয়ারপোর্ট বঙ্গবন্ধু এভিনিউ ট্রান্সপোর্ট,1,Fulbaria,Abdullahpur,29,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%8F%E0%A7%9F%E0%A6%BE%E0%A6%B0%E0%A6%AA%E0%A7%8B%E0%A6%B0%E0%A7%8D%E0%A6%9F%20%E0%A6%AC%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A7%81%20%E0%A6%8F%E0%A6%AD%E0%A6%BF%E0%A6%A8%E0%A6%BF%E0%A6%89%20%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%8D.jpg?alt=media&token=a9973a29-2683-409c-b550-b7dff332899f,needs_validation,SRC_BUS_GITHUB
SVC0004,Azmeri Glory,আজমেরী গ্লোরী,1,Sadarghat,Chandra,33,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%86%E0%A6%9C%E0%A6%AE%E0%A7%87%E0%A6%B0%E0%A7%80%20%E0%A6%97%E0%A7%8D%E0%A6%B2%E0%A7%8B%E0%A6%B0.jpg?alt=media&token=72bee0a2-3b7f-4cba-9cde-5c69bc3057b1,needs_validation,SRC_BUS_GITHUB
SVC0005,Akash Enterprise,আকাশ বাস,1,Kadamtali,Tongi,32,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%86%E0%A6%95%E0%A6%BE%E0%A6%B6%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=a2d0a456-3712-43ac-bf43-9fdfd9f24e69,needs_validation,SRC_BUS_GITHUB
SVC0006,Akik,আকিক বাস,1,Ansar Camp,Uttar Badda,19,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%86%E0%A6%95%E0%A6%BF%E0%A6%95%20.jpg?alt=media&token=26f8d188-4f0b-4c54-82c3-c9031d701639,needs_validation,SRC_BUS_GITHUB
SVC0007,Al Makka,আল মক্কা বাস,1,Motijheel,Mirpur 1,20,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%86%E0%A6%B2%20%E0%A6%AE%E0%A6%95%E0%A7%8D%E0%A6%95%E0%A6%BE%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=57b84d3e-62cb-4436-ae88-04f7c921160f,needs_validation,SRC_BUS_GITHUB
SVC0008,Al Madina Plus One,আল মনিদা প্লাস ওয়ান,1,Nandan Park,Kamalapur,26,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%86%E0%A6%B2%20%E0%A6%AE%E0%A6%A8%E0%A6%BF%E0%A6%A6%E0%A6%BE%20%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=b305b3c3-a554-4fcf-b900-27ac31be0fce,needs_validation,SRC_BUS_GITHUB
SVC0009,Alif,আলিফ বাস,1,Mirpur 14,Nandan Park,14,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%86%E0%A6%B2%E0%A6%BF%E0%A6%AB%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=d20445eb-0ad5-4c56-ab9f-35b4ec24d51c,needs_validation,SRC_BUS_GITHUB
SVC0010,Alif,আলিফ বাস,2,Shia Mosque,Banasree,17,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%86%E0%A6%B2%E0%A6%BF%E0%A6%AB%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=d20445eb-0ad5-4c56-ab9f-35b4ec24d51c,needs_validation,SRC_BUS_GITHUB
SVC0011,Alif,আলিফ বাস,3,Mirpur 1,Banasree,16,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%86%E0%A6%B2%E0%A6%BF%E0%A6%AB%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=d20445eb-0ad5-4c56-ab9f-35b4ec24d51c,needs_validation,SRC_BUS_GITHUB
SVC0012,Alif,আলিফ বাস,4,Japan Garden City,Abdullahpur,26,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%86%E0%A6%B2%E0%A6%BF%E0%A6%AB%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=d20445eb-0ad5-4c56-ab9f-35b4ec24d51c,needs_validation,SRC_BUS_GITHUB
SVC0013,Anabil Super,অনাবিল সুপার,1,Sign Board,Gazipur Chourasta,34,Sitting Service(Check System),6 am-12pm,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%85%E0%A6%A8%E0%A6%BE%E0%A6%AC%E0%A6%BF%E0%A6%B2.jpg?alt=media&token=ce38cc9c-433e-40c9-a38f-f046e7609aa6,needs_validation,SRC_BUS_GITHUB
SVC0014,Arnob,অরনব বাস,1,Hemayetpur,Demra Staff Quarter,20,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%85%E0%A6%B0%E0%A6%A8%E0%A6%AC%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=9b6415c9-8a7c-4e74-9962-2aa02ae9824d,needs_validation,SRC_BUS_GITHUB
SVC0015,Ashirbad Pahibahan,আশীর্বাদ পরিবহন,1,Duaripara,Azimpur,21,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%86%E0%A6%B6%E0%A7%80%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%A6%20%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%AC%E0%A6%B9%E0%A6%A8.jpg?alt=media&token=a665427c-cded-4a52-b194-8ebe69f7cc96,needs_validation,SRC_BUS_GITHUB
SVC0016,Ashulia Classic,আশুলিয়া ক্লাসিক বাস,1,Nobinagar,Sat rasta,23,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%86%E0%A6%B6%E0%A7%81%E0%A6%B2%E0%A6%BF%E0%A7%9F%E0%A6%BE%20%E0%A6%95%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%B8%E0%A6%BF%E0%A6%95%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=f26ffd61-2e35-4d5b-8f76-4a9119228171,needs_validation,SRC_BUS_GITHUB
SVC0017,Asmani,আসমানী বাস,1,Dhour,Madanpur,24,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%86%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%80%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=a6b8ca04-31cf-4bd3-831c-030568e6984b,needs_validation,SRC_BUS_GITHUB
SVC0018,ATCL,এটিসিএল বাস,1,Mohammadpur Bus Stand,Arambagh Notre Dame College,15,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%8F%E0%A6%9F%E0%A6%BF%E0%A6%B8%E0%A6%BF%E0%A6%8F%E0%A6%B2%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=709d35f3-9ac9-4d32-a98c-68917adffd67,needs_validation,SRC_BUS_GITHUB
SVC0019,Ayat,আয়াত বাস,1,Chiriyakhana,Kamalapur,17,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%86%E0%A7%9F%E0%A6%BE%E0%A6%A4%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=6fc3ff2c-c0ca-4399-a87a-24498abfed1a,needs_validation,SRC_BUS_GITHUB
SVC0020,Bahon,বাহন বাস,1,Mirpur 14,Khilgaon,26,Semi-Sitting Service (Check System),6 am-11pm,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BE%E0%A6%B9%E0%A6%A8%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=6ac383c0-c4c7-4d5f-ab99-7d68d6c40653,needs_validation,SRC_BUS_GITHUB
