entity_type,entity_id,name_en,name_bn,search_text,latitude,longitude,provider,confidence,status
official_place,PLC0001,Abdullahpur,আব্দুল্লাহপুর,"Abdullahpur, Dhaka, Bangladesh",,,,,pending
official_place,PLC0002,Abdullahpur (Jail),আব্দুল্লাহপুর (জেলখানা),"Abdullahpur (Jail), Dhaka, Bangladesh",,,,,pending
official_place,PLC0003,Abul Hotel,আবুল হোটেল,"Abul Hotel, Dhaka, Bangladesh",,,,,pending
official_place,PLC0004,Agargaon,আগারগাঁও,"Agargaon, Dhaka, Bangladesh",,,,,pending
official_place,PLC0005,Airport,এয়ারপোর্ট,"Airport, Dhaka, Bangladesh",,,,,pending
official_place,PLC0006,Amin Bazar,আমিন বাজার,"Amin Bazar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0007,Amulia Staff Quarter,আমুলিয়া স্টাফ কোয়ার্টার,"Amulia Staff Quarter, Dhaka, Bangladesh",,,,,pending
official_place,PLC0008,Ansar Camp,আনসারক্যাম্প,"Ansar Camp, Dhaka, Bangladesh",,,,,pending
official_place,PLC0009,Apla Bazar,আপলা বাজার,"Apla Bazar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0010,Arambagh,আরামবাগ,"Arambagh, Dhaka, Bangladesh",,,,,pending
official_place,PLC0011,Asad Avenue,আসাদ এভিনিউ,"Asad Avenue, Dhaka, Bangladesh",,,,,pending
official_place,PLC0012,Asad Gate,আসাদগেট,"Asad Gate, Dhaka, Bangladesh",,,,,pending
official_place,PLC0013,Ashika Morh,এশিকা মোড়,"Ashika Morh, Dhaka, Bangladesh",,,,,pending
official_place,PLC0014,Ashulia,আশুলিয়া,"Ashulia, Dhaka, Bangladesh",,,,,pending
official_place,PLC0015,Ashulia (Fantasy Kingdom),আশুলিয়া (ফ্যান্টাসি কিংডম),"Ashulia (Fantasy Kingdom), Dhaka, Bangladesh",,,,,pending
official_place,PLC0016,Ati Bazar,আতি বাজার,"Ati Bazar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0017,Azampur,আজমপুর,"Azampur, Dhaka, Bangladesh",,,,,pending
official_place,PLC0018,Azimpur,আজিমপুর,"Azimpur, Dhaka, Bangladesh",,,,,pending
official_place,PLC0019,Azimpur (Dhakeswari),আজিমপুর (ঢাকেশ্বরী),"Azimpur (Dhakeswari), Dhaka, Bangladesh",,,,,pending
official_place,PLC0020,Babu Bazar,বাবু বাজার,"Babu Bazar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0021,Babu Bazar Bridge,বাবু বাজার ব্রীজ,"Babu Bazar Bridge, Dhaka, Bangladesh",,,,,pending
official_place,PLC0022,Babubazar Bridge,বাবুবাজার ব্রীজ,"Babubazar Bridge, Dhaka, Bangladesh",,,,,pending
official_place,PLC0023,Badda,বাড্ডা,"Badda, Dhaka, Bangladesh",,,,,pending
official_place,PLC0024,Badda Link Road,বাড্ডা লিংক রোড,"Badda Link Road, Dhaka, Bangladesh",,,,,pending
official_place,PLC0025,Badda Link Road/Madhy Badda,বাড্ডা লিংক রোড/মধ্য বাড্ডা,"Badda Link Road/Madhy Badda, Dhaka, Bangladesh",,,,,pending
official_place,PLC0026,Bagher Bazar,বাঘের বাজার,"Bagher Bazar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0027,Bagmara,বাগমারা,"Bagmara, Dhaka, Bangladesh",,,,,pending
official_place,PLC0028,Baikali Hotel,বৈকালী হোটেল,"Baikali Hotel, Dhaka, Bangladesh",,,,,pending
official_place,PLC0029,Baipail,বাইপাইল,"Baipail, Dhaka, Bangladesh",,,,,pending
official_place,PLC0030,Bakshibazar,বকশিবাজার,"Bakshibazar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0031,Balughat,বালুঘাট,"Balughat, Dhaka, Bangladesh",,,,,pending
official_place,PLC0032,Banani,বনানী,"Banani, Dhaka, Bangladesh",,,,,pending
official_place,PLC0033,Bandura,বান্দুরা,"Bandura, Dhaka, Bangladesh",,,,,pending
official_place,PLC0034,Bangabandhu Avenue,বঙ্গবন্ধু এভিনিউ,"Bangabandhu Avenue, Dhaka, Bangladesh",,,,,pending
official_place,PLC0035,Bangabandhu College,বঙ্গবন্ধু কলেজ,"Bangabandhu College, Dhaka, Bangladesh",,,,,pending
official_place,PLC0036,Bangla College,বাংলা কলেজ,"Bangla College, Dhaka, Bangladesh",,,,,pending
official_place,PLC0037,Bangla Motor,বাংলা মোটর,"Bangla Motor, Dhaka, Bangladesh",,,,,pending
official_place,PLC0038,Bangladesh Bank,বাংলাদেশ ব্যাংক,"Bangladesh Bank, Dhaka, Bangladesh",,,,,pending
official_place,PLC0039,Banglamotor,বাংলামটর,"Banglamotor, Dhaka, Bangladesh",,,,,pending
official_place,PLC0040,Bangonagar,বঙ্গনগর,"Bangonagar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0041,Baniajuri,বানিয়াজুরি,"Baniajuri, Dhaka, Bangladesh",,,,,pending
official_place,PLC0042,Barpa,বরপা,"Barpa, Dhaka, Bangladesh",,,,,pending
official_place,PLC0043,Baruakhali,বারুয়াখালী,"Baruakhali, Dhaka, Bangladesh",,,,,pending
official_place,PLC0044,Basabo,বাসাবো,"Basabo, Dhaka, Bangladesh",,,,,pending
