line_id,from_station_id,from_station_en,to_station_id,to_station_en,single_journey_fare_tk,mrt_rapid_pass_fare_tk,live_usable,source_id
MRT6,MRT6_01,Uttara North,MRT6_02,Uttara Center,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_03,Uttara South,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_04,Pallabi,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_05,Mirpur 11,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_06,Mirpur 10,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_07,Kazipara,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_08,Shewrapara,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_09,Agargaon,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_10,Bijoy Sarani,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_11,Farmgate,70,63.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_12,Karwan Bazar,80,72.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_13,Shahbag,80,72.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_14,Dhaka University,90,81.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_15,Bangladesh Secretariat,90,81.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_16,Motijheel,100,90.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_01,Uttara North,MRT6_17,Kamalapur,100,90.0,no,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_01,Uttara North,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_03,Uttara South,20,18.0,yes,SRC_DMTCL_FARES
