place_id,name_en,name_bn,normalized_name,latitude,longitude,geocode_status,source_id
PLC0001,Abdullahpur,আব্দুল্লাহপুর,abdullahpur,,,pending,SRC_BRTA_METRO_FARES
PLC0002,Abdullahpur (Jail),আব্দুল্লাহপুর (জেলখানা),abdullahpur,,,pending,SRC_BRTA_METRO_FARES
PLC0003,Abul Hotel,আবুল হোটেল,abul hotel,,,pending,SRC_BRTA_METRO_FARES
PLC0004,Agargaon,আগারগাঁও,agargaon,,,pending,SRC_BRTA_METRO_FARES
PLC0005,Airport,এয়ারপোর্ট,airport,,,pending,SRC_BRTA_METRO_FARES
PLC0006,Amin Bazar,আমিন বাজার,amin bazar,,,pending,SRC_BRTA_METRO_FARES
PLC0007,Amulia Staff Quarter,আমুলিয়া স্টাফ কোয়ার্টার,amulia staff quarter,,,pending,SRC_BRTA_METRO_FARES
PLC0008,Ansar Camp,আনসারক্যাম্প,ansar camp,,,pending,SRC_BRTA_METRO_FARES
PLC0009,Apla Bazar,আপলা বাজার,apla bazar,,,pending,SRC_BRTA_METRO_FARES
PLC0010,Arambagh,আরামবাগ,arambagh,,,pending,SRC_BRTA_METRO_FARES
PLC0011,Asad Avenue,আসাদ এভিনিউ,asad avenue,,,pending,SRC_BRTA_METRO_FARES
PLC0012,Asad Gate,আসাদগেট,asad gate,,,pending,SRC_BRTA_METRO_FARES
PLC0013,Ashika Morh,এশিকা মোড়,ashika,,,pending,SRC_BRTA_METRO_FARES
PLC0014,Ashulia,আশুলিয়া,ashulia,,,pending,SRC_BRTA_METRO_FARES
PLC0015,Ashulia (Fantasy Kingdom),আশুলিয়া (ফ্যান্টাসি কিংডম),ashulia,,,pending,SRC_BRTA_METRO_FARES
PLC0016,Ati Bazar,আতি বাজার,ati bazar,,,pending,SRC_BRTA_METRO_FARES
PLC0017,Azampur,আজমপুর,azampur,,,pending,SRC_BRTA_METRO_FARES
PLC0018,Azimpur,আজিমপুর,azimpur,,,pending,SRC_BRTA_METRO_FARES
PLC0019,Azimpur (Dhakeswari),আজিমপুর (ঢাকেশ্বরী),azimpur,,,pending,SRC_BRTA_METRO_FARES
PLC0020,Babu Bazar,বাবু বাজার,babu bazar,,,pending,SRC_BRTA_METRO_FARES
PLC0021,Babu Bazar Bridge,বাবু বাজার ব্রীজ,babu bazar bridge,,,pending,SRC_BRTA_METRO_FARES
PLC0022,Babubazar Bridge,বাবুবাজার ব্রীজ,babubazar bridge,,,pending,SRC_BRTA_METRO_FARES
PLC0023,Badda,বাড্ডা,badda,,,pending,SRC_BRTA_METRO_FARES
PLC0024,Badda Link Road,বাড্ডা লিংক রোড,badda link road,,,pending,SRC_BRTA_METRO_FARES
PLC0025,Badda Link Road/Madhy Badda,বাড্ডা লিংক রোড/মধ্য বাড্ডা,badda link road madhy badda,,,pending,SRC_BRTA_METRO_FARES
PLC0026,Bagher Bazar,বাঘের বাজার,bagher bazar,,,pending,SRC_BRTA_METRO_FARES
PLC0027,Bagmara,বাগমারা,bagmara,,,pending,SRC_BRTA_METRO_FARES
PLC0028,Baikali Hotel,বৈকালী হোটেল,baikali hotel,,,pending,SRC_BRTA_METRO_FARES
PLC0029,Baipail,বাইপাইল,baipail,,,pending,SRC_BRTA_METRO_FARES
PLC0030,Bakshibazar,বকশিবাজার,bakshibazar,,,pending,SRC_BRTA_METRO_FARES
PLC0031,Balughat,বালুঘাট,balughat,,,pending,SRC_BRTA_METRO_FARES
PLC0032,Banani,বনানী,banani,,,pending,SRC_BRTA_METRO_FARES
PLC0033,Bandura,বান্দুরা,bandura,,,pending,SRC_BRTA_METRO_FARES
PLC0034,Bangabandhu Avenue,বঙ্গবন্ধু এভিনিউ,bangabandhu avenue,,,pending,SRC_BRTA_METRO_FARES
PLC0035,Bangabandhu College,বঙ্গবন্ধু কলেজ,bangabandhu college,,,pending,SRC_BRTA_METRO_FARES
PLC0036,Bangla College,বাংলা কলেজ,bangla college,,,pending,SRC_BRTA_METRO_FARES
PLC0037,Bangla Motor,বাংলা মোটর,bangla motor,,,pending,SRC_BRTA_METRO_FARES
PLC0038,Bangladesh Bank,বাংলাদেশ ব্যাংক,bangladesh bank,,,pending,SRC_BRTA_METRO_FARES
PLC0039,Banglamotor,বাংলামটর,banglamotor,,,pending,SRC_BRTA_METRO_FARES
PLC0040,Bangonagar,বঙ্গনগর,bangonagar,,,pending,SRC_BRTA_METRO_FARES
PLC0041,Baniajuri,বানিয়াজুরি,baniajuri,,,pending,SRC_BRTA_METRO_FARES
PLC0042,Barpa,বরপা,barpa,,,pending,SRC_BRTA_METRO_FARES
PLC0043,Baruakhali,বারুয়াখালী,baruakhali,,,pending,SRC_BRTA_METRO_FARES
PLC0044,Basabo,বাসাবো,basabo,,,pending,SRC_BRTA_METRO_FARES
PLC0045,Bashundhara,বসুন্ধরা,bashundhara,,,pending,SRC_BRTA_METRO_FARES
PLC0046,Basila,বসিলা,basila,,,pending,SRC_BRTA_METRO_FARES
PLC0047,Basila Bridge,বসিলা ব্রীজ,basila bridge,,,pending,SRC_BRTA_METRO_FARES
PLC0048,Basila CNG Stand,বসিলা সিএনজি স্ট্যান্ড,basila cng stand,,,pending,SRC_BRTA_METRO_FARES
PLC0049,Beraid,বেরাইদ,beraid,,,pending,SRC_BRTA_METRO_FARES
PLC0050,Beribadh,বেড়িবাঁধ,beribadh,,,pending,SRC_BRTA_METRO_FARES
PLC0051,Bezgaon Chourasta,বেজগাঁও চৌরাস্তা,bezgaon chourasta,,,pending,SRC_BRTA_METRO_FARES
PLC0052,Bhabantek,ভাবানটেক,bhabantek,,,pending,SRC_BRTA_METRO_FARES
