raw_stop_name,normalized_stop_name,canonical_place_id,canonical_name_en,match_score,match_method,needs_manual_review,source_id
- Ray Saheb Bazar,ray saheb bazar,PLC0317,Raysaheb Bazar,0.9655,fuzzy_high,no,SRC_BUS_GITHUB
300 Feet,300 feet,,,0.3636,unmatched,yes,SRC_BUS_GITHUB
Abdulla,abdulla,,,0.7778,unmatched,yes,SRC_BUS_GITHUB
Abdullahpur,abdullahpur,PLC0002,Abdullahpur (Jail),1.0,exact_normalized,no,SRC_BUS_GITHUB
Adabor,adabor,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Adabor Shyamoli,adabor shyamoli,,,0.6957,unmatched,yes,SRC_BUS_GITHUB
Adamjee College,adamjee college,,,0.7407,unmatched,yes,SRC_BUS_GITHUB
Adamjee School,adamjee school,,,0.5217,unmatched,yes,SRC_BUS_GITHUB
Agargaon,agargaon,PLC0004,Agargaon,1.0,exact_normalized,no,SRC_BUS_GITHUB
Airport,airport,PLC0005,Airport,1.0,exact_normalized,no,SRC_BUS_GITHUB
Airport Jashimuddin (Uttara),airport jashimuddin,,,0.6897,unmatched,yes,SRC_BUS_GITHUB
Amin Bazar,amin bazar,PLC0006,Amin Bazar,1.0,exact_normalized,no,SRC_BUS_GITHUB
Ansar Camp,ansar camp,PLC0008,Ansar Camp,1.0,exact_normalized,no,SRC_BUS_GITHUB
Arambagh,arambagh,PLC0010,Arambagh,1.0,exact_normalized,no,SRC_BUS_GITHUB
Arambagh Kingdom,arambagh kingdom,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Arambagh Notre Dame College,arambagh notre dame college,,,0.8,unmatched,yes,SRC_BUS_GITHUB
Asad Gate,asad gate,PLC0012,Asad Gate,1.0,exact_normalized,no,SRC_BUS_GITHUB
Ashulia,ashulia,PLC0015,Ashulia (Fantasy Kingdom),1.0,exact_normalized,no,SRC_BUS_GITHUB
Ashulia Bazar,ashulia bazar,,,0.7826,unmatched,yes,SRC_BUS_GITHUB
Azampur,azampur,PLC0017,Azampur,1.0,exact_normalized,no,SRC_BUS_GITHUB
Azimpur,azimpur,PLC0019,Azimpur (Dhakeswari),1.0,exact_normalized,no,SRC_BUS_GITHUB
Babubazar,babubazar,PLC0020,Babu Bazar,0.9474,fuzzy_high,no,SRC_BUS_GITHUB
Badda,badda,PLC0023,Badda,1.0,exact_normalized,no,SRC_BUS_GITHUB
Badda Link Road,badda link road,PLC0024,Badda Link Road,1.0,exact_normalized,no,SRC_BUS_GITHUB
Baipayl,baipail,PLC0029,Baipail,1.0,exact_normalized,no,SRC_BUS_GITHUB
Baitul Mukarram,baitul mukarram,,,0.5455,unmatched,yes,SRC_BUS_GITHUB
Bakshi Bazar,bakshi bazar,PLC0030,Bakshibazar,0.9565,fuzzy_high,no,SRC_BUS_GITHUB
Balughat,balughat,PLC0031,Balughat,1.0,exact_normalized,no,SRC_BUS_GITHUB
Banani,banani,PLC0032,Banani,1.0,exact_normalized,no,SRC_BUS_GITHUB
Banasree,banasree,,,0.8,unmatched,yes,SRC_BUS_GITHUB
Bangla College,bangla college,PLC0036,Bangla College,1.0,exact_normalized,no,SRC_BUS_GITHUB
Bangla Motor,bangla motor,PLC0037,Bangla Motor,1.0,exact_normalized,no,SRC_BUS_GITHUB
Bangla Motor Shahbag,bangla motor shahbag,,,0.75,unmatched,yes,SRC_BUS_GITHUB
Bangladesh Bank,bangladesh bank,PLC0038,Bangladesh Bank,1.0,exact_normalized,no,SRC_BUS_GITHUB
Baromi,baromi,,,0.8,unmatched,yes,SRC_BUS_GITHUB
Bashabo,bashabo,PLC0044,Basabo,0.9231,fuzzy_high,no,SRC_BUS_GITHUB
Bashtola,bashtola,,,0.7143,unmatched,yes,SRC_BUS_GITHUB
Bashtola -,bashtola,,,0.7143,unmatched,yes,SRC_BUS_GITHUB
Bashundhara,bashundhara,PLC0045,Bashundhara,1.0,exact_normalized,no,SRC_BUS_GITHUB
Bashundhara (300 Feet Gate),bashundhara,PLC0045,Bashundhara,1.0,exact_normalized,no,SRC_BUS_GITHUB
Bata Signal,bata signal,,,0.5882,unmatched,yes,SRC_BUS_GITHUB
Beribadh,beribadh,PLC0050,Beribadh,1.0,exact_normalized,no,SRC_BUS_GITHUB
Beribadh Tin Rastar Moor,beribadh tin rastar,,,0.5926,unmatched,yes,SRC_BUS_GITHUB
Bijoy Sarani,bijoy sarani,PLC0057,Bijay Smarani,0.88,fuzzy_high,no,SRC_BUS_GITHUB
Birulia,birulia,,,0.6154,unmatched,yes,SRC_BUS_GITHUB
Board Bazar,board bazar,PLC0061,Board Bazar,1.0,exact_normalized,no,SRC_BUS_GITHUB
Bosila,basila,PLC0046,Basila,1.0,exact_normalized,no,SRC_BUS_GITHUB
Bot tola,bot tola,,,0.625,unmatched,yes,SRC_BUS_GITHUB
CMH,cmh,,,0.4,unmatched,yes,SRC_BUS_GITHUB
Cantonment,cantonment,,,0.625,unmatched,yes,SRC_BUS_GITHUB
Chairman Bari,chairman bari,,,0.6957,unmatched,yes,SRC_BUS_GITHUB
Chandra,chandra,PLC0070,Chandra,1.0,exact_normalized,no,SRC_BUS_GITHUB
Chankhar Pul,chankhar pul,PLC0071,Chankharpul,0.9565,fuzzy_high,no,SRC_BUS_GITHUB
Chashara,chashara,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Chiriyakhana,chiriyakhana,,,0.5833,unmatched,yes,SRC_BUS_GITHUB
Chittagong Road,chittagong road,,,0.5833,unmatched,yes,SRC_BUS_GITHUB
City College,city college,PLC0077,City College,1.0,exact_normalized,no,SRC_BUS_GITHUB
College Gate,college gate,PLC0078,College Gate,1.0,exact_normalized,no,SRC_BUS_GITHUB
Dainik Bangla Moor,dainik bangla,,,0.8,unmatched,yes,SRC_BUS_GITHUB
Darussalam,darussalam,PLC0080,Darussalam,1.0,exact_normalized,no,SRC_BUS_GITHUB
Dayaganj,dayaganj,,,0.7619,unmatched,yes,SRC_BUS_GITHUB
Demra Staff Quarter,demra staff quarter,PLC0084,Demra Staff Quarter,1.0,exact_normalized,no,SRC_BUS_GITHUB
Dhakeshwari,dhakeshwari,,,0.8,unmatched,yes,SRC_BUS_GITHUB
Dhamra,dhamra,PLC0090,Dhamrai,0.9231,fuzzy_high,no,SRC_BUS_GITHUB
Dhamrai,dhamrai,PLC0090,Dhamrai,1.0,exact_normalized,no,SRC_BUS_GITHUB
Dhanmondi 15,dhanmondi 15,PLC0092,Dhanmondi-15,1.0,exact_normalized,no,SRC_BUS_GITHUB
Dhanmondi 27,dhanmondi 27,,,0.8571,unmatched,yes,SRC_BUS_GITHUB
Dhanmondi 32,dhanmondi 32,,,0.8571,unmatched,yes,SRC_BUS_GITHUB
Dhanmondi 32 Kalabagan,dhanmondi 32 kalabagan,,,0.5882,unmatched,yes,SRC_BUS_GITHUB
Dholairpar,dholairpar,,,0.6316,unmatched,yes,SRC_BUS_GITHUB
Dhour,dhour,,,0.8,unmatched,yes,SRC_BUS_GITHUB
Dhupkhola,dhupkhola,PLC0097,Dhupkhola,1.0,exact_normalized,no,SRC_BUS_GITHUB
Dia Bari,dia bari,PLC0101,Diabari Morh,0.9333,fuzzy_high,no,SRC_BUS_GITHUB
Diabari,diabari,PLC0101,Diabari Morh,1.0,exact_normalized,no,SRC_BUS_GITHUB
Duaripara,duaripara,PLC0102,Duyaripara,0.9474,fuzzy_high,no,SRC_BUS_GITHUB
ECB Square,ecb square,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Eden College,eden college,PLC0106,Eden College,1.0,exact_normalized,no,SRC_BUS_GITHUB
Fakirapul,fakirapul,,,0.8421,unmatched,yes,SRC_BUS_GITHUB
Fantasy Kingdom,fantasy kingdom,PLC0111,Fantasy Kingdom,1.0,exact_normalized,no,SRC_BUS_GITHUB
Farmgate,farmgate,PLC0112,Farmgate,1.0,exact_normalized,no,SRC_BUS_GITHUB
Farmgate Bijoy Sarani,farmgate bijoy sarani,,,0.6857,unmatched,yes,SRC_BUS_GITHUB
Fulbaria,fulbaria,PLC0113,Fulbaria,1.0,exact_normalized,no,SRC_BUS_GITHUB
GPO,gpo,PLC0124,GPO,1.0,exact_normalized,no,SRC_BUS_GITHUB
Gabtoli,gabtoli,PLC0114,Gabtoli,1.0,exact_normalized,no,SRC_BUS_GITHUB
Gandaria,gandaria,,,0.6316,unmatched,yes,SRC_BUS_GITHUB
Garrison (Cantonment),garrison,,,0.625,unmatched,yes,SRC_BUS_GITHUB
Gazipur Bypass,gazipur bypass,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Gazipur Chourasta,gazipur chourasta,,,0.7059,unmatched,yes,SRC_BUS_GITHUB
Ghatar Char,ghatar char,PLC0119,Ghatarchar,0.9524,fuzzy_high,no,SRC_BUS_GITHUB
Golap Shah Mazar,golap shah mazar,PLC0123,Golapshah Mazar (Fulbaria),0.9677,fuzzy_high,no,SRC_BUS_GITHUB
Golapbag Chourasta,golapbag chourasta,,,0.7429,unmatched,yes,SRC_BUS_GITHUB
Gulistan,gulistan,PLC0128,Gulistan Morh,1.0,exact_normalized,no,SRC_BUS_GITHUB
Gulshan 1,gulshan 1,PLC0129,Gulshan-1,1.0,exact_normalized,no,SRC_BUS_GITHUB
Gulshan 2,gulshan 2,PLC0130,Gulshan-2,1.0,exact_normalized,no,SRC_BUS_GITHUB
Gulshan Link Road,gulshan link road,,,0.6923,unmatched,yes,SRC_BUS_GITHUB
Hasnabad,hasnabad,,,0.5882,unmatched,yes,SRC_BUS_GITHUB
Hazaribag,hazaribag,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Hazipara,hazipara,PLC0179,Kazipara,0.875,fuzzy_high,no,SRC_BUS_GITHUB
