node_kind,node_id,name_en,latitude,longitude,osm_fclass,match_quality,source
place,PLC0008,Ansar Camp,23.7911259,90.3535922,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0010,Arambagh,23.7320132,90.4208222,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0012,Asad Gate,23.7604243,90.3729894,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0014,Ashulia,23.8978690,90.3307080,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0015,Ashulia (Fantasy Kingdom),23.8978690,90.3307080,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0017,Azampur,23.8679920,90.4001848,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0018,Azimpur,23.7274628,90.3864092,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0019,Azimpur (Dhakeswari),23.7274628,90.3864092,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0020,Babu Bazar,23.7091054,90.4026334,ferry_terminal,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0023,Badda,23.7857042,90.4256113,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0027,Bagmara,23.3366297,91.1449935,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0029,Baipail,23.9380780,90.2697628,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0030,Bakshibazar,23.7223025,90.3955152,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0041,Baniajuri,23.8504240,89.9409860,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0043,Baruakhali,23.6716923,90.0767141,village,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0049,Beraid,23.8021030,90.4817918,ferry_terminal,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0050,Beribadh,23.8923998,90.3614806,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0054,Bhulta,23.7845855,90.5652836,bus_station,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0055,Bhulta (Gausia),23.7845855,90.5652836,bus_station,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0061,Board Bazar,23.9446368,90.3827133,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0070,Chandra,24.0470310,90.2391500,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0071,Chankharpul,23.7238542,90.4002639,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0072,Chasara Bus Stand,23.6242119,90.4995498,locality,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0073,Cherag Ali,23.9058375,90.3989828,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0074,Chourasta,23.5465757,90.4859801,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0078,College Gate,23.7503675,90.4199166,college,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0080,Darussalam,23.7800468,90.3542107,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0082,Demra,24.1392046,89.4733047,village,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0085,Dhaka City College,23.7396837,90.3828522,college,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0086,Dhaka College,23.7360491,90.3839557,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0091,Dhanmondi,23.7422650,90.3738997,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0092,Dhanmondi-15,23.7443576,90.3728855,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0107,Ekuria,23.6829248,90.4195396,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0108,EPZ,23.9502014,90.2739953,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0112,Farmgate,23.7572194,90.3902385,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0113,Fulbaria,23.8126590,90.2574310,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0114,Gabtoli,23.7834217,90.3438107,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0117,Gazipur,23.9901310,90.3821884,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0119,Ghatarchar,23.7340037,90.3365984,bus_station,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0125,Gulistan,23.7245952,90.4119248,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0126,Gulistan (Fulbaria),23.7245952,90.4119248,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0127,Gulistan (Hanif Flyover),23.7245952,90.4119248,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0128,Gulistan Morh,23.7245952,90.4119248,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0129,Gulshan-1,23.7802946,90.4162986,bus_stop,tokens,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0130,Gulshan-2,23.7802946,90.4162986,bus_stop,tokens,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0132,Hemayetpur,23.7930630,90.2719440,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0133,High Court,23.7316850,90.4048858,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
